,Name_2005,ranking_2005,total_2005,mtn_2005,tt_2005,Name_2006,ranking_2006,total_2006,mtn_2006,tt_2006,Name_2007,ranking_2007,total_2007,mtn_2007,tt_2007,Name_2008,ranking_2008,total_2008,mtn_2008,tt_2008,Name_2010,ranking_2010,total_2010,mtn_2010,tt_2010,Name_2011,ranking_2011,total_2011,mtn_2011,tt_2011,Name_2012,ranking_2012,total_2012,mtn_2012,tt_2012
0,"AERTS, Mario",112.0,40.195554339988568,33.32204341136282,48.390761075350248,AZEVEDO Josƒ,19.0,40.502187301958422,35.024108392136334,47.110009017132548,PEREIRO SIO Oscar,10.0,39.123263651058934,35.65680132120481,48.668816213726394,EVANS Cadel,2.0,40.4961602882154,36.225411210000971,48.481880509304602,CONTADOR Alberto,1.0,39.594477060230481,36.605484930724181,43.883106485188151,CONTADOR Alberto,5.0,39.727684546484099,34.862611565858238,47.131720967419454,EVANS Cadel,7.0,39.808370963457669,35.288575850698727,46.537480877103519
1,"ALBASINI, Michael",145.0,39.871749418093813,32.855616197855042,48.464163822525592,EKIMOV Viatceslav,84.0,39.528737806360958,32.582617734368419,48.246565854784713,ARROYO David,13.0,39.070454649094806,35.73455233291299,46.099476439790571,AERTS Mario,31.0,40.130907268798346,35.563907379685958,44.701986754966889,DE LA FUENTE David,110.0,37.030413267957613,32.536143335502196,38.612187389926028,HERNANDEZ BLAZQUEZ Jesus,92.0,37.575086269330718,32.604472514702884,39.918740477399695,BURGHARDT Marcus,58.0,39.053811742661615,34.123962908735969,44.414162306849988
2,"ARMSTRONG, Lance",1.0,41.65190562379631,36.371510356701485,52.173913043478258,HINCAPIE George,32.0,40.256234635094977,34.288924147310119,47.728674203494343,GARCIA ACOSTA Vicente,91.0,37.970478396520754,33.098111738368694,45.86932928152811,BRANDT Christophe,,,33.091634725569996,43.471142038477275,GRIVKO Andriy,136.0,36.793062805186061,30.78470824949698,42.920908379013312,NAVARRO Daniel,62.0,38.117464021781409,32.666482993983237,40.163515585079203,CUMMINGS Stephen,95.0,38.697980387937655,33.392057393925242,44.944594927357798
3,"ARRIETA, Jose Luis",74.0,40.513236579383452,33.747905089529858,48.399924256769552,MARTINEZ Egoi,42.0,40.08000438380185,33.932124049151547,46.507177033492823,GUTIERREZ Jos Ivan,22.0,38.900983146067411,35.098312432265054,48.35697940503433,CIONI Dario,83.0,39.450035558045819,34.123483451669095,43.773028739867357,HERNANDEZ BLAZQUEZ Jesus,140.0,36.769123767429861,32.581127038108256,38.235088943146145,NOVAL GONZALEZ Benjamin,116.0,37.112286607357539,30.511766903249907,36.666148343958895,GILBERT Philippe,46.0,39.170955436209873,34.107686804193001,44.801178203240063
4,"ARROYO, David",53.0,40.7525980450853,34.565001355135969,46.78319758396632,NOVAL GONZALEZ Benjamin,,,34.089445438282645,45.833692373976739,KARPETS Vladimir,14.0,39.053120660262977,35.459427518726429,48.990379042540866,HOSTE Leif,124.0,38.995754781576665,33.114533699756819,46.624803767660914,IGLINSKIY Maxim,131.0,36.838136126595934,31.039181251135467,40.227522935779817,PORTE Richie,72.0,37.892411084174668,31.586274459253914,46.68382498515146,HINCAPIE George,38.0,39.251196507911764,34.397787276841839,45.612895164313386
5,"ARVESEN, Kurt-Asle",89.0,40.406912259544036,33.194196751337543,49.130225852955306,PADRNOS Pavel,65.0,39.778110129163835,33.202599410265954,47.253815715093275,PEREZ SANCHEZ Francisco,72.0,38.12739749192307,33.355948829035029,45.774937723383516,MC EWEN Robbie,122.0,39.004894559976627,33.114533699756819,43.941411451398139,NAVARRO Daniel,49.0,38.22981909793905,35.209864669918254,39.136022848982506,SORENSEN Chris Anker,37.0,38.671368530500523,33.663964830333839,44.099495043949879,MOINARD Ama<U+00EB>l,45.0,39.175221800732544,34.397787276841839,44.44119795471147
6,"ASTARLOZA, Mikel",27.0,41.221374045801525,35.58628387176784,48.249174138744692,POPOVYCH Yaroslav,25.0,40.398536938617703,34.595078299776283,47.60364464692482,PORTAL Nicolas,57.0,38.278548877107291,33.764428447312895,46.690234202386215,POPOVYCH Yaroslav,24.0,40.225894348246463,35.554470578245734,46.297739672642244,NOVAL GONZALEZ Benjamin,104.0,37.10209071460104,31.400477853335783,39.934426229508198,SORENSEN Nicki,95.0,37.518914418712058,30.58590531983058,44.215263453965875,QUINZIATO Manuel,109.0,38.631004621418093,33.145469676698937,37.66710353866317
7,"AUGE, Stephane",121.0,40.090888800714218,32.923156354874799,47.228381374722836,RUBIERA Josƒ Luis,92.0,39.498970940314535,32.523532216000973,46.460649177412186,VALVERDE Alejandro,6.0,39.143282681993036,35.775593761233026,47.402422611036343,VAN SUMMEREN Johan,87.0,39.404543721324984,34.016064664845601,45.24680073126143,TIRALONGO Paolo,54.0,38.142844674599253,34.334807073954984,40.271858927259366,TOSATTO Matteo,123.0,37.057266501407504,30.547775570755384,40.136170212765961,SCH<U+00C4>R Michael,49.0,39.154142821597411,34.146182646915186,45.34658385093168
8,"AZEVEDO, Jose",30.0,41.176096023432777,35.431393733600864,49.72762645914397,SAVOLDELLI Paolo,,,34.721344929789609,49.023041474654384,ZANDIO Xabier,,,,47.638190954773869,VANSEVENANT Wim,145.0,38.770169159226299,33.092942385205092,42.75226716568303,VINOKOUROV Alexandre,16.0,39.341175058512874,35.903542721047927,43.883106485188151,VANDBORG Brian,125.0,37.015719989927696,30.511766903249907,40.067969413763805,VAN GARDEREN Tejay,5.0,39.844279650958534,35.402929990773458,48.031578947368423
9,"BACKSTEDT, Magnus",,,32.133244381053167,54.488188976377955,JULICH Bobby,,,,49.631067961165051,ROGERS Michael,,,39.919151086407275,50.158730158730158,SASTRE Carlos,1.0,40.503584387998941,36.296850112147709,47.664901299951858,SCHLECK Andy,2.0,39.585152442890532,36.586541035387334,42.637106184364065,SCHLECK Andy,2.0,39.76427398319003,35.002714053081164,45.884413309982484,SCHLECK Frank,,,36.18107492040766,45.058792788084659
